Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
464,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,0.00,0.49,0.16,33.3,0.49,0.16,0.00,0.00,17.4,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches,ae59b359
465,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,0.04,0.29,0.04,12.5,0.29,0.04,0.13,1.00,12.0,0.00,0.00,0.00,0.05,0.05,0.17,-0.01,-0.01,Matches,21166ff4
466,Tony Springett,eng ENG,FWMF,Norwich City,18,2002,1.6,0.00,0.63,0.63,100.0,0.64,0.64,0.00,0.00,13.0,0.00,0.00,0.00,0.19,0.19,0.27,-0.19,-0.19,Matches,35be8087
467,Jason Steele,eng ENG,GK,Brighton,30,1990,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,28300a16
468,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a8a3d139
469,Zack Steffen,us USA,GK,Manchester City,26,1995,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,42130443
470,Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,0.00,0.71,0.00,0.0,0.73,0.00,0.00,,21.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches,653ee42d
471,Jack Stephens,eng ENG,DF,Southampton,27,1994,9.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,6adbc307
472,Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,0.55,2.29,01.06,46.3,2.28,01.06,0.20,0.44,13.8,0.00,0.08,0.13,0.61,0.51,0.22,-0.06,-0.04,Matches,b400bde0
473,Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7e003182
474,John Stones,eng ENG,DF,Manchester City,27,1994,12.4,0.08,0.73,0.40,55.6,0.72,0.40,0.11,0.20,12.8,0.00,0.00,0.00,0.08,0.08,0.12,0.00,0.00,Matches,5eecec3d
475,Pascal Struijk,nl NED,DF,Leeds United,21,1999,22.8,0.04,0.48,0.13,27.3,0.48,0.13,0.09,0.33,7.8,0.00,0.00,0.00,0.06,0.06,0.12,-0.01,-0.01,Matches,f4d296e4
476,Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,0.00,1.43,0.00,0.0,1.38,0.00,0.00,,11.9,0.00,0.00,0.00,0.21,0.21,0.13,-0.21,-0.21,Matches,df04eb4b
477,Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,0.00,0.75,0.15,20.0,0.75,0.15,0.00,0.00,14.4,0.00,0.00,0.00,0.06,0.06,0.08,-0.06,-0.06,Matches,953c30b0
478,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,0.00,0.85,0.24,28.6,0.86,0.24,0.00,0.00,13.1,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches,e9971f2d
479,Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,0.06,0.44,0.13,28.6,0.44,0.13,0.14,0.50,13.4,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.03,Matches,e514ab62
480,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16.0,0.00,0.38,0.19,50.0,0.37,0.19,0.00,0.00,16.4,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches,e514ab62
481,James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,0.03,0.67,0.17,26.1,0.67,0.17,0.04,0.17,10.6,0.00,0.00,0.00,0.06,0.06,0.09,-0.03,-0.03,Matches,15ea812b
482,Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,0.08,1.76,0.15,8.7,1.76,0.15,0.04,0.50,19.8,0.00,0.00,0.00,0.11,0.11,0.06,-0.04,-0.04,Matches,a65c844b
483,Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,0.00,0.23,0.00,0.0,0.23,0.00,0.00,,21.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches,cc2d7ad5
484,Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,0.00,1.35,0.56,41.7,1.34,0.56,0.00,0.00,20.9,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches,f1e94cd6
485,Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,0.00,0.54,0.16,30.0,0.54,0.16,0.00,0.00,23.0,0.22,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,e73c9bb2
486,Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,0.00,0.19,0.00,0.0,0.19,0.00,0.00,,18.6,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches,fc027d02
487,Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,0.00,0.63,0.00,0.0,0.62,0.00,0.00,,18.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,235a62f8
488,Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,0.21,1.95,0.51,26.3,1.95,0.51,0.07,0.27,24.4,0.00,0.07,0.07,0.16,0.11,0.06,0.05,0.03,Matches,56f7a928
489,Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,0.05,0.70,0.23,33.3,0.70,0.23,0.07,0.20,21.2,0.00,0.00,0.00,0.03,0.03,0.05,0.01,0.01,Matches,fce2302c
490,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,0.00,0.59,0.11,18.2,0.59,0.11,0.00,0.00,16.1,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches,b3af9be1
491,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,0.16,0.66,0.33,50.0,0.66,0.33,0.25,0.50,12.0,0.00,0.00,0.00,0.10,0.10,0.14,0.07,0.07,Matches,e7ca0439
492,Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,0.37,2.57,0.74,28.9,2.57,0.74,0.08,0.29,15.1,0.00,0.15,0.15,0.37,0.25,0.10,0.00,-0.04,Matches,e09f279b
493,Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,0.59,3.82,1.18,30.8,3.86,1.19,0.15,0.50,14.1,0.00,0.00,0.00,0.74,0.74,0.19,-0.15,-0.15,Matches,9e1035f8
494,Cenk Tosun,tr TUR,FW,Everton,30,1991,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,9a104dee
495,Andros Townsend,eng ENG,MF,Everton,30,1991,16.2,0.19,1.23,0.56,45.0,1.24,0.56,0.10,0.22,21.2,0.25,0.06,0.06,0.14,0.09,0.07,0.04,0.03,Matches,b28bbd58
496,Adama Traoré,es ESP,FW,Wolves,25,1996,11.9,0.08,1.93,0.50,26.1,1.94,0.51,0.04,0.17,18.9,0.00,0.00,0.00,0.20,0.20,0.11,-0.12,-0.12,Matches,9a28eba4
497,Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,0.00,3.33,0.42,12.5,3.27,0.41,0.00,0.00,16.8,0.00,0.00,0.00,0.13,0.13,0.04,-0.13,-0.13,Matches,c47541e0
498,Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,0.00,10.0,0.00,0.0,8.18,0.00,0.00,,21.0,0.00,0.00,0.00,1.00,1.00,0.06,-1.00,-1.00,Matches,3ae14ed1
499,Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,0.14,02.09,0.88,41.9,02.09,0.88,0.06,0.15,18.0,0.07,0.00,0.00,0.23,0.23,0.11,-0.09,-0.09,Matches,77e39b04
500,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,0.42,0.42,0.42,100.0,0.42,0.42,1.00,1.00,23.2,0.42,0.00,0.00,0.02,0.02,0.06,0.40,0.40,Matches,21512407
501,William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,0.00,0.13,0.00,0.0,0.13,0.00,0.00,,21.8,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches,7ed4921e
502,Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,0.26,2.31,0.83,36.1,2.31,0.83,0.10,0.27,18.1,0.16,0.03,0.03,0.22,0.19,0.08,0.04,0.03,Matches,38ceb24a
503,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,0.00,0.82,0.21,25.0,0.82,0.21,0.00,0.00,17.1,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches,f315ca93
504,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,0.00,0.36,0.18,50.0,0.35,0.18,0.00,0.00,7.0,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches,2baec6ce
505,Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,0.00,0.81,0.00,0.0,0.81,0.00,0.00,,17.9,0.00,0.00,0.00,0.14,0.14,0.17,-0.14,-0.14,Matches,17d45fb2
506,Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,0.00,1.62,0.54,33.3,1.61,0.54,0.00,0.00,18.9,0.00,0.00,0.00,0.14,0.14,0.08,-0.14,-0.14,Matches,9f333379
507,Yan Valery,fr FRA,DF,Southampton,22,1999,4.1,0.00,0.49,0.00,0.0,0.49,0.00,0.00,,28.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,531a4aa8
508,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,0.05,0.44,0.05,11.1,0.44,0.05,0.11,1.00,8.3,0.00,0.00,0.00,0.04,0.04,0.09,0.01,0.01,Matches,9f8e9423
509,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,20.1,0.75,2.64,1.24,47.2,2.64,1.25,0.28,0.60,12.1,0.00,0.00,0.00,0.47,0.47,0.18,0.27,0.27,Matches,45963054
510,Joël Veltman,nl NED,DF,Brighton,29,1992,31.9,0.03,0.38,0.06,16.7,0.38,0.06,0.08,0.50,16.6,0.00,0.00,0.00,0.03,0.03,0.07,0.00,0.00,Matches,dad4b285
511,Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,6.3,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,4.1,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches,1900032e
512,Nikola Vlašić,hr CRO,FWMF,West Ham,23,1997,6.2,0.16,1.13,0.48,42.9,1.13,0.48,0.14,0.33,17.6,0.00,0.00,0.00,0.16,0.16,0.14,0.00,0.00,Matches,aa8e289e
513,Matěj Vydra,cz CZE,FW,Burnley,29,1992,7.5,0.27,2.53,0.93,36.8,2.52,0.93,0.11,0.29,14.3,0.00,0.00,0.00,0.40,0.40,0.16,-0.13,-0.13,Matches,0d4ceb32
514,Theo Walcott,eng ENG,MFFW,Southampton,32,1989,4.2,0.00,1.43,0.00,0.0,1.42,0.00,0.00,,15.9,0.00,0.00,0.00,0.17,0.17,0.12,-0.17,-0.17,Matches,1ecb65be
515,Kyle Walker,eng ENG,DF,Manchester City,31,1990,19.5,0.00,0.41,0.10,25.0,0.41,0.10,0.00,0.00,23.5,0.05,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches,86dd77d1
516,Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,29.3,0.03,0.92,0.24,25.9,0.92,0.24,0.04,0.14,19.2,0.00,0.00,0.00,0.03,0.03,0.04,0.00,0.00,Matches,984a5a64
517,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,19.9,0.00,0.25,0.05,20.0,0.25,0.05,0.00,0.00,13.5,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches,9e525177
518,Danny Ward,wls WAL,GK,Leicester City,28,1993,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,d3ce0e89
519,Joel Ward,eng ENG,DF,Crystal Palace,31,1989,27.6,0.00,0.36,0.04,10.0,0.36,0.04,0.00,0.00,19.6,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches,8a7ff278
520,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,35.7,0.28,1.43,0.56,39.2,1.43,0.56,0.12,0.30,26.7,0.64,0.11,0.11,0.15,0.06,0.05,0.13,0.10,Matches,3515d404
521,Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,32.8,0.34,2.35,0.95,40.3,2.35,0.95,0.13,0.32,13.5,0.00,0.03,0.03,0.37,0.35,0.15,-0.04,-0.04,Matches,aed3a70f
522,Adam Webster,eng ENG,DF,Brighton,26,1995,15.9,0.13,0.57,0.13,22.2,0.56,0.13,0.22,1.00,9.2,0.00,0.00,0.00,0.07,0.07,0.16,0.06,0.06,Matches,c40b6180
523,Wout Weghorst,nl NED,FW,Burnley,28,1992,16.1,0.12,1.86,0.43,23.3,1.86,0.43,0.07,0.29,13.6,0.00,0.00,0.00,0.26,0.26,0.14,-0.14,-0.14,Matches,c4e87b8b
524,Danny Welbeck,eng ENG,FW,Brighton,30,1990,16.4,0.37,2.62,1.22,46.5,2.62,1.22,0.14,0.30,12.3,0.00,0.00,0.00,0.37,0.37,0.15,-0.01,-0.01,Matches,ce5143da
525,Timo Werner,de GER,FWMF,Chelsea,25,1996,14.3,0.28,3.15,1.12,35.6,3.16,1.12,0.09,0.25,13.1,0.00,0.00,0.00,0.53,0.53,0.17,-0.25,-0.25,Matches,49fe9070
526,Ashley Westwood,eng ENG,MF,Burnley,31,1990,25.4,0.00,0.55,0.04,7.1,0.55,0.04,0.00,0.00,20.0,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,495945ef
527,Ben White,eng ENG,DF,Arsenal,23,1997,32.0,0.00,0.38,0.09,25.0,0.37,0.09,0.00,0.00,14.1,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches,35e413f1
528,Brandon Williams,eng ENG,DF,Norwich City,20,2000,23.6,0.00,0.17,0.04,25.0,0.17,0.04,0.00,0.00,20.2,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches,5e74d6c8
529,Neco Williams,wls WAL,DF,Liverpool,20,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,dd323728
530,Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,22.6,0.09,1.50,0.44,29.4,1.50,0.44,0.06,0.20,16.1,0.00,0.00,0.00,0.16,0.16,0.11,-0.07,-0.07,Matches,a3b03921
531,Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,15.4,0.52,02.08,0.78,37.5,02.08,0.78,0.19,0.50,13.4,0.00,0.13,0.13,0.42,0.32,0.15,0.10,0.06,Matches,c596fcb0
532,Harry Winks,eng ENG,MF,Tottenham,25,1996,10.1,0.00,0.30,0.10,33.3,0.30,0.10,0.00,0.00,24.2,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches,2f7acede
533,Yoane Wissa,cd COD,FWMF,Brentford,24,1996,14.3,0.49,2.31,0.91,39.4,2.31,0.91,0.21,0.54,15.4,0.00,0.00,0.00,0.26,0.26,0.11,0.23,0.23,Matches,2500cef9
534,Chris Wood,nz NZL,FW,Burnley,29,1991,15.2,0.20,02.04,0.66,32.3,02.04,0.66,0.10,0.30,11.8,0.00,0.00,0.00,0.30,0.30,0.14,-0.10,-0.10,Matches,4e9a0555
535,Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,14.7,0.14,1.36,0.41,30.0,1.36,0.41,0.05,0.17,10.9,0.00,0.07,0.07,0.20,0.14,0.10,-0.06,-0.07,Matches,4e9a0555
536,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,19e50035
537,Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,25.9,0.04,01.04,0.19,18.5,01.04,0.19,0.04,0.20,22.8,0.04,0.00,0.00,0.05,0.05,0.05,-0.01,-0.01,Matches,e61b8aee
538,Andriy Yarmolenko,ua UKR,FW,West Ham,31,1989,3.5,0.29,3.14,1.43,45.5,3.13,1.42,0.09,0.20,14.9,0.00,0.00,0.00,0.23,0.23,0.08,0.06,0.06,Matches,849c826a
539,Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,13.9,0.00,0.72,0.22,30.0,0.72,0.22,0.00,0.00,21.1,0.07,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,be927d03
540,Nathan Young-Coombes,eng ENG,FW,Brentford,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f9682888
541,Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,30.7,0.46,02.02,0.85,41.9,02.02,0.85,0.15,0.35,18.5,0.00,0.16,0.23,0.31,0.13,0.06,0.15,0.16,Matches,b2bc3b1f
542,Christoph Zimmermann,de GER,DF,Norwich City,28,1993,1.7,0.00,1.18,0.59,50.0,1.15,0.57,0.00,0.00,18.0,0.00,0.00,0.00,0.06,0.06,0.03,-0.06,-0.06,Matches,2d5f03bf
543,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,11.6,0.00,01.03,0.34,33.3,01.03,0.34,0.00,0.00,21.7,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,51cf8561
544,Hakim Ziyech,ma MAR,FWMF,Chelsea,28,1993,14.7,0.27,3.61,1.29,35.8,3.62,1.30,0.08,0.21,20.7,0.20,0.00,0.00,0.23,0.23,0.06,0.04,0.04,Matches,6622454d
545,Kurt Zouma,fr FRA,DF,West Ham,26,1994,23.1,0.04,0.30,0.09,28.6,0.30,0.09,0.14,0.50,6.2,0.00,0.00,0.00,0.04,0.04,0.13,0.00,0.00,Matches,ce4246f5
546,Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,0.23,1.72,0.68,39.6,1.71,0.68,0.13,0.33,20.1,0.39,0.00,0.00,0.16,0.16,0.09,0.07,0.07,Matches,79300479
