Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
376,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,e0bc6fdc
377,Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,0.09,1.96,0.40,20.5,1.95,0.40,0.05,0.22,21.1,0.09,0.00,0.00,0.11,0.11,0.06,-0.02,-0.02,Matches,529f49ab
378,João Pedro,br BRA,FWMF,Watford,19,2001,18.3,0.16,2.57,0.87,34.0,2.57,0.88,0.06,0.19,15.6,0.05,0.00,0.00,0.23,0.23,0.09,-0.07,-0.07,Matches,e8832875
379,Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,0.13,2.99,0.91,30.4,2.97,0.91,0.04,0.14,15.2,0.39,0.00,0.00,0.38,0.38,0.13,-0.25,-0.25,Matches,57e3f0c7
380,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11.0,0.09,0.91,0.18,20.0,0.91,0.18,0.10,0.50,16.3,0.00,0.00,0.00,0.06,0.06,0.07,0.03,0.03,Matches,75a72a99
381,Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,0.41,2.24,1.22,54.5,2.22,1.21,0.18,0.33,15.0,0.00,0.00,0.00,0.31,0.31,0.14,0.10,0.10,Matches,819aa8e7
382,Sonny Perkins,eng ENG,FW,West Ham,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,87f12e30
383,Romain Perraud,fr FRA,DF,Southampton,23,1997,18.0,0.00,01.06,0.17,15.8,01.05,0.17,0.00,0.00,20.3,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches,6dfd8f05
384,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,0.00,0.85,0.17,20.0,0.85,0.17,0.00,0.00,23.9,0.06,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,4f565d77
385,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,19f4d211
386,Jordan Pickford,eng ENG,GK,Everton,27,1994,35.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,4806ec67
387,Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,0.00,0.86,0.00,0.0,0.86,0.00,0.00,,23.8,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches,1ef37668
