Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
514,Theo Walcott,eng ENG,MFFW,Southampton,32,1989,4.2,0,6,0,0.0,1.42,0.00,0.00,,15.9,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
515,Kyle Walker,eng ENG,DF,Manchester City,31,1990,19.5,0,8,2,25.0,0.41,0.10,0.00,0.00,23.5,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
516,Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,29.3,1,27,7,25.9,0.92,0.24,0.04,0.14,19.2,0,0,0,1.0,1.0,0.04,0.0,0.0,Matches
517,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,19.9,0,5,1,20.0,0.25,0.05,0.00,0.00,13.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
518,Danny Ward,wls WAL,GK,Leicester City,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
519,Joel Ward,eng ENG,DF,Crystal Palace,31,1989,27.6,0,10,1,10.0,0.36,0.04,0.00,0.00,19.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
520,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,35.7,10,51,20,39.2,1.43,0.56,0.12,0.30,26.7,23,4,4,5.4,2.3,0.05,+4.6,+3.7,Matches
521,Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,32.8,11,77,31,40.3,2.35,0.95,0.13,0.32,13.5,0,1,1,12.2,11.4,0.15,-1.2,-1.4,Matches
522,Adam Webster,eng ENG,DF,Brighton,26,1995,15.9,2,9,2,22.2,0.56,0.13,0.22,1.00,9.2,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Matches
523,Wout Weghorst,nl NED,FW,Burnley,28,1992,16.1,2,30,7,23.3,1.86,0.43,0.07,0.29,13.6,0,0,0,4.2,4.2,0.14,-2.2,-2.2,Matches
524,Danny Welbeck,eng ENG,FW,Brighton,30,1990,16.4,6,43,20,46.5,2.62,1.22,0.14,0.30,12.3,0,0,0,6.1,6.1,0.15,-0.1,-0.1,Matches
525,Timo Werner,de GER,FWMF,Chelsea,25,1996,14.3,4,45,16,35.6,3.16,1.12,0.09,0.25,13.1,0,0,0,7.6,7.6,0.17,-3.6,-3.6,Matches
526,Ashley Westwood,eng ENG,MF,Burnley,31,1990,25.4,0,14,1,7.1,0.55,0.04,0.00,0.00,20.0,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
527,Ben White,eng ENG,DF,Arsenal,23,1997,32.0,0,12,3,25.0,0.37,0.09,0.00,0.00,14.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
528,Brandon Williams,eng ENG,DF,Norwich City,20,2000,23.6,0,4,1,25.0,0.17,0.04,0.00,0.00,20.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
529,Neco Williams,wls WAL,DF,Liverpool,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
530,Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,22.6,2,34,10,29.4,1.50,0.44,0.06,0.20,16.1,0,0,0,3.6,3.6,0.11,-1.6,-1.6,Matches
531,Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,15.4,8,32,12,37.5,02.08,0.78,0.19,0.50,13.4,0,2,2,6.5,5.0,0.15,+1.5,+1.0,Matches
532,Harry Winks,eng ENG,MF,Tottenham,25,1996,10.1,0,3,1,33.3,0.30,0.10,0.00,0.00,24.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
533,Yoane Wissa,cd COD,FWMF,Brentford,24,1996,14.3,7,33,13,39.4,2.31,0.91,0.21,0.54,15.4,0,0,0,3.7,3.7,0.11,+3.3,+3.3,Matches
534,Chris Wood,nz NZL,FW,Burnley,29,1991,15.2,3,31,10,32.3,02.04,0.66,0.10,0.30,11.8,0,0,0,4.5,4.5,0.14,-1.5,-1.5,Matches
535,Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,14.7,2,20,6,30.0,1.36,0.41,0.05,0.17,10.9,0,1,1,2.9,2.1,0.10,-0.9,-1.1,Matches
536,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
537,Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,25.9,1,27,5,18.5,01.04,0.19,0.04,0.20,22.8,1,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
538,Andriy Yarmolenko,ua UKR,FW,West Ham,31,1989,3.5,1,11,5,45.5,3.13,1.42,0.09,0.20,14.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
539,Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,13.9,0,10,3,30.0,0.72,0.22,0.00,0.00,21.1,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
540,Nathan Young-Coombes,eng ENG,FW,Brentford,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
541,Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,30.7,14,62,26,41.9,02.02,0.85,0.15,0.35,18.5,0,5,7,9.4,4.0,0.06,+4.6,+5.0,Matches
542,Christoph Zimmermann,de GER,DF,Norwich City,28,1993,1.7,0,2,1,50.0,1.15,0.57,0.00,0.00,18.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
543,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,11.6,0,12,4,33.3,01.03,0.34,0.00,0.00,21.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
544,Hakim Ziyech,ma MAR,FWMF,Chelsea,28,1993,14.7,4,53,19,35.8,3.62,1.30,0.08,0.21,20.7,3,0,0,3.4,3.4,0.06,+0.6,+0.6,Matches
545,Kurt Zouma,fr FRA,DF,West Ham,26,1994,23.1,1,7,2,28.6,0.30,0.09,0.14,0.50,6.2,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
546,Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,7,53,21,39.6,1.71,0.68,0.13,0.33,20.1,12,0,0,4.8,4.8,0.09,+2.2,+2.2,Matches
