Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
409,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,1,6,4,66.7,0.32,0.21,0.17,0.25,21.3,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
410,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11.0,1,30,12,40.0,2.74,01.09,0.03,0.08,18.5,0,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches
411,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,3,18,8,44.4,0.64,0.28,0.17,0.38,17.2,0,0,0,1.9,1.9,0.10,+1.1,+1.1,Matches
412,Joe Rodon,wls WAL,DF,Tottenham,23,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
413,Rodri,es ESP,MF,Manchester City,25,1996,32.0,7,45,14,31.1,1.40,0.44,0.16,0.50,18.2,0,0,0,2.7,2.7,0.06,+4.3,+4.3,Matches
414,Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,6,48,17,35.4,1.91,0.68,0.10,0.29,18.0,0,1,1,4.9,4.1,0.09,+1.1,+0.9,Matches
415,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,2,41,11,26.8,2.67,0.72,0.05,0.18,14.2,0,0,0,4.7,4.7,0.11,-2.7,-2.7,Matches
416,Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,1,5,2,40.0,0.36,0.15,0.20,0.50,17.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
417,Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,1,6,2,33.3,0.29,0.10,0.17,0.50,13.3,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
418,Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,2,25,4,16.0,0.78,0.12,0.08,0.50,20.9,0,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches
419,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,18,108,39,36.1,3.96,1.43,0.14,0.38,15.0,8,3,3,16.5,14.2,0.13,+1.5,+0.8,Matches
420,Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,1,21,6,28.6,2.39,0.68,0.05,0.17,11.6,0,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches
421,Danny Rose,eng ENG,DF,Watford,31,1990,7.7,0,4,1,25.0,0.52,0.13,0.00,0.00,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
422,Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,0,3,2,66.7,1.21,0.81,0.00,0.00,15.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
423,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
424,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,3,48,13,27.1,1.42,0.39,0.06,0.23,19.5,0,0,0,2.8,2.8,0.06,+0.2,+0.2,Matches
425,Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,0,12,2,16.7,1.40,0.23,0.00,0.00,19.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
426,José Sá,pt POR,GK,Wolves,28,1993,36.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
427,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,5,64,26,40.6,02.05,0.83,0.08,0.19,19.0,0,0,0,5.1,5.1,0.08,-0.1,-0.1,Matches
428,Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,2,18,6,33.3,0.60,0.20,0.11,0.33,11.8,1,0,0,2.7,2.7,0.15,-0.7,-0.7,Matches
429,Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,11,95,29,30.5,2.87,0.88,0.09,0.31,16.9,0,2,2,9.7,8.2,0.09,+1.3,+0.8,Matches
430,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,23,134,49,36.6,4.37,1.60,0.13,0.37,15.5,1,5,6,21.8,17.0,0.13,+1.2,+1.0,Matches
431,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33.0,0,25,8,32.0,0.76,0.24,0.00,0.00,11.0,0,0,0,1.8,1.8,0.07,-1.8,-1.8,Matches
432,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,0,20,8,40.0,1.59,0.63,0.00,0.00,25.0,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
433,Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,2,13,3,23.1,0.72,0.17,0.15,0.67,8.1,0,0,0,2.1,2.1,0.16,-0.1,-0.1,Matches
434,Robert Sánchez,es ESP,GK,Brighton,23,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
435,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,3,26,9,34.6,1.23,0.43,0.12,0.33,14.6,0,0,0,3.3,3.3,0.13,-0.3,-0.3,Matches
436,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,,33.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
437,Samir Santos,br BRA,DF,Watford,26,1994,18.6,0,8,2,25.0,0.43,0.11,0.00,0.00,11.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
438,Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,2,26,2,7.7,1.49,0.11,0.08,1.00,15.3,0,0,0,2.7,2.7,0.11,-0.7,-0.7,Matches
